TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea,delay_nodeb
46.31943036830701,0.9687923255240196,3.633044329246219,4.7672329922195654e-08,2.528510073928747e-07,9.399158036905526e-10,9.10111413532571e-10,9.33158938880273e-10,6.612132218550922e-10,1.2981198088339552e-08,6.786454234536645e+18,9.672417044746546e-10,9.794046899442856e-10,9.033880600884894e-10,6.5674502672597e-10,1.429039793063562e-08,2.842206218855075e+18,7.137688e-12,8.012599000000001e-12
14.319261619886774,1.0841825898841913,0.8892947610171952,4.912293497099062e-08,2.5108740729759123e-07,8.98709758990639e-10,9.167539948402961e-10,8.80811267039111e-10,6.171867583725021e-10,1.3643442207134862e-08,6.881843060976781e+18,8.759149852408922e-10,9.717460488973654e-10,9.229568573463415e-10,6.613498384823376e-10,1.4417290784598914e-08,2.8253846324234614e+18,3.432458e-12,4.421876e-12
106.23708058989943,0.9065206651056807,2.474883222926393,4.4810181890736344e-08,2.579574456125698e-07,9.249987319564285e-10,8.910546368443418e-10,9.15315484693002e-10,6.496764363121083e-10,1.5716950511417528e-08,6.752083918476458e+18,9.042080384125201e-10,9.274590811669207e-10,9.085815642525405e-10,6.54568024450844e-10,1.3481326842927446e-08,2.7959133413644e+18,4.960884e-12,5.7132285e-12
78.64052841711373,0.9888928633409068,2.2362747819976034,4.7695253095601574e-08,2.392915443883272e-07,8.52571300440981e-10,8.742048129611353e-10,8.541005948280106e-10,6.375231444740014e-10,1.4364776980372025e-08,6.310092966536863e+18,9.087065948406292e-10,8.965047290780394e-10,9.435532038903763e-10,6.498631202144976e-10,1.4020566669492889e-08,2.8470280528889446e+18,5.3816545e-12,6.267639e-12
97.16663016566308,1.066959914298859,2.2711784260130203,4.5971040131748664e-08,2.60605786628626e-07,9.351422979908168e-10,9.35454047659375e-10,9.104480247187359e-10,6.691565528621336e-10,1.4305775311561132e-08,6.605972342166029e+18,9.193243431660233e-10,1.004173169886205e-09,9.270612373571664e-10,6.509246217163152e-10,1.4432910430689892e-08,2.854839915980546e+18,4.637973e-12,5.414875500000001e-12
89.82506769226336,0.925542245145072,0.6172031320788172,4.634444092642543e-08,2.675176246166146e-07,8.950681061327474e-10,9.218122770767639e-10,8.654394037015608e-10,6.607701556090196e-10,1.4239740792866357e-08,6.47121844166368e+18,9.24015719783654e-10,8.971088731986664e-10,9.091189243484037e-10,6.153281232227287e-10,1.4571500775251708e-08,2.875159814628535e+18,2.7660695e-12,3.6353064999999998e-12
-31.238427342955447,1.002837792790468,2.8580990637721726,4.5701914522200835e-08,2.502968813223299e-07,8.804487763829583e-10,8.341896612214741e-10,8.86944580129549e-10,6.4607794198884e-10,1.4172578934593597e-08,6.513800581473408e+18,9.152299067903861e-10,9.512300702905101e-10,8.699593921745534e-10,6.425833721548139e-10,1.4680030377252648e-08,2.825930997929353e+18,5.55571e-12,6.3275939999999996e-12
67.68344178220306,1.0240289228632464,2.4106669356354704,4.38079005720539e-08,2.5457659834710583e-07,9.340078538536274e-10,9.42787099144664e-10,8.992476913903731e-10,6.650555528761614e-10,1.4034392166905006e-08,6.552773694658398e+18,9.37635763913759e-10,9.45202501338478e-10,8.654289037148043e-10,6.550882584323798e-10,1.2803833062868949e-08,2.769323222510971e+18,4.4629335e-12,5.140105e-12
-13.67771643692759,0.9065301873447184,2.024443505181928,5.0576374810551155e-08,2.563809508479647e-07,9.578024766674728e-10,9.177679741164607e-10,9.409355062211492e-10,6.623424939814201e-10,1.3243708763089946e-08,6.398566386464901e+18,9.164448210907946e-10,9.254803111349499e-10,9.401479485525527e-10,6.63947318182045e-10,1.4073737105609174e-08,2.7699789259205074e+18,5.664691e-12,6.735317e-12
90.5443353802316,0.9278097457037684,0.9726803349010644,4.90606238903179e-08,2.454760505684355e-07,9.242219695954611e-10,9.60525777413427e-10,8.878931419916051e-10,6.636350996277711e-10,1.3126127612204892e-08,6.543372271344641e+18,9.119732419071793e-10,9.064789158895067e-10,8.746155063623962e-10,6.333463002901478e-10,1.4490785437422562e-08,2.8365223989732383e+18,3.790385e-12,4.7991785e-12
-46.203612608794494,1.0251212063472424,2.195504185698151,4.6573493033138666e-08,2.499146852746328e-07,9.653957751405772e-10,8.753296263929257e-10,8.595477691706772e-10,6.37325826079209e-10,1.3613019971172951e-08,6.326812888004931e+18,9.287769910703279e-10,9.461569202160446e-10,8.98697901296877e-10,6.711411731007508e-10,1.4158935175995049e-08,2.672745104078768e+18,4.8619335e-12,5.679212000000001e-12
57.58646204442496,0.9291706674567626,3.155036960169572,5.025767226925619e-08,2.514647542570668e-07,9.004443975259858e-10,9.318692053776732e-10,9.300134460502795e-10,6.35887188890263e-10,1.3447403729678889e-08,6.218418797415565e+18,9.436244312162882e-10,9.208724616394461e-10,9.219297329505347e-10,6.580575283081326e-10,1.4398255644105918e-08,2.7245991651629783e+18,7.3553475e-12,8.387051e-12
